license,info,preamble,define,copyright,patent,trademark,copyleft,interaction,modification,retain_attr,enhance_attr,acceptance,patent_term,vio_term,disclaimer,law,instruction,compatible_version,secondary_license,gpl_combine
CC0-1.0,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unlicense,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WTFPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BSD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIT-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fair,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
MIT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ISC,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FSFAP,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Imlib2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BSD-1-Clause,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BSD-2-Clause,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BSD-2-Clause-Patent,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,"GPL-2.0-only,GPL-2.0-or-later",0
BSD-3-Clause,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BSD-3-Clause-Clear,1,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NCSA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BSL-1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NTP,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Ruby,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
UPL-1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
EFL-2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
MirOS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CC-BY-4.0,1,1,1,1,-1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
ClArtistic,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Zlib,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
LiLiQ-P-1.1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,Québec,0,0,0,0
MulanPSL-2.0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,"Apache-2.0,GPL-2.0-only,GPL-2.0-or-later",0
Apache-2.0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
Artistic-2.0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,"AGPL-3.0-only,AGPL-3.0-or-later,CC-BY-SA-4.0,CECILL-2.1,EPL-1.0,EUPL-1.1,EUPL-1.2,GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,LiLiQ-Rplus-1.1,MulanPubL-2.0,NPOSL-3.0,OSL-3.0,RPL-1.5,SimPL-2.0",0
ECL-2.0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
AFL-3.0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0
BSD-4-Clause,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
AAL,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
CDDL-1.0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0
CPAL-1.0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,California,1,0,0,0
EPL-2.0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
LiLiQ-R-1.1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,Québec,0,0,"CDDL-1.0,CPL-1.0,CECILL-2.1,CECILL-C,EPL-1.0,EUPL-1.1,LiLiQ-Rplus-1.1,GPL-2.0-only,GPL-3.0-only,LGPL-2.1-only,LGPL-3.0-only,MPL-2.0,GPL-2.0-or-later,GPL-3.0-or-later,LGPL-2.1-or-later,LGPL-3.0-or-later",0
MPL-2.0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,"GPL-2.0-only,GPL-3.0-only,LGPL-2.1-only,LGPL-3.0-only,AGPL-3.0-only,GPL-2.0-or-later,GPL-3.0-or-later,LGPL-2.1-or-later,LGPL-3.0-or-later,AGPL-3.0-or-later",0
MS-RL,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
NOSL,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,Victoria,0,0,0,0
OGTSL,1,1,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0
MS-PL,1,0,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0
CC-BY-SA-4.0,1,1,1,1,-1,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0
CECILL-2.1,1,1,1,1,1,0,3,0,1,1,0,0,0,1,1,French,0,0,"GPL-2.0-only,GPL-3.0-only,AGPL-3.0-only,EUPL-1.1,EUPL-1.2,GPL-2.0-or-later,GPL-3.0-or-later,AGPL-3.0-or-later",0
EPL-1.0,1,0,1,1,1,0,3,0,1,1,0,0,1,1,1,New York,0,EPL-2.0,0,0
EUPL-1.1,1,0,1,1,1,1,3,0,1,1,0,0,0,1,1, European Union,0,EUPL-1.2,"GPL-2.0-only,OSL-2.1,OSL-3.0,CPL-1.0,EPL-1.0,CECILL-2.0,GPL-2.0-or-later",0
EUPL-1.2,1,0,1,1,1,1,3,0,1,1,0,0,0,1,1, European Union,0,0,"GPL-2.0-only,GPL-3.0-only,AGPL-3.0-only,OSL-2.1,OSL-3.0,EPL-1.0,CECILL-2.0,CECILL-2.1,MPL-2.0,LGPL-2.1-only,LGPL-3.0-only,CC-BY-SA-3.0,EUPL-1.1,EUPL-1.2,LiLiQ-R,LiLiQ-R-or-later,GPL-2.0-or-later,GPL-3.0-or-later,AGPL-3.0-or-later,LGPL-2.1-or-later,LGPL-3.0-or-later",0
LGPL-2.1-or-later,1,1,1,0,0,0,2,0,1,1,0,0,0,1,1,0,1,"LGPL-3.0-only,LGPL-2.1-only,LGPL-3.0-or-later","GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later","GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later"
LGPL-2.1-only,1,1,1,0,0,0,2,0,1,1,0,0,0,1,1,0,1,LGPL-2.1-or-later,"GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later","GPL-2.0-only,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later"
LGPL-3.0-or-later,1,1,1,1,1,0,2,0,1,1,0,0,1,1,1,0,1,LGPL-3.0-only,"GPL-3.0-only,GPL-3.0-or-later","GPL-3.0-only,GPL-3.0-or-later,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later"
LGPL-3.0-only,1,1,1,1,1,0,2,0,1,1,0,0,1,1,1,0,1,LGPL-3.0-or-later,"GPL-3.0-only,GPL-3.0-or-later","GPL-3.0-only,GPL-3.0-or-later,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later"
GPL-2.0-or-later,1,1,1,0,0,0,3,0,1,1,0,0,0,1,1,0,1,"GPL-3.0-only,GPL-2.0-only,GPL-3.0-or-later",0,"AGPL-3.0-only,AGPL-3.0-or-later,GPL-2.0-only"
GPL-2.0-only,1,1,1,0,0,0,3,0,1,1,0,0,0,1,1,0,1,GPL-2.0-or-later,0,GPL-2.0-or-later
GPL-3.0-or-later,1,1,1,1,1,0,3,0,1,1,0,0,1,1,1,0,1,GPL-3.0-only,0,"AGPL-3.0-only,AGPL-3.0-or-later,GPL-3.0-only"
GPL-3.0-only,1,1,1,1,1,0,3,0,1,1,0,0,1,1,1,0,1,GPL-3.0-or-later,0,"AGPL-3.0-only,AGPL-3.0-or-later,GPL-3.0-or-later"
AGPL-3.0-or-later,1,1,1,1,1,0,3,1,1,1,0,0,1,1,1,0,1,AGPL-3.0-only,0,AGPL-3.0-only
AGPL-3.0-only,1,1,1,1,1,0,3,1,1,1,0,0,1,1,1,0,1,AGPL-3.0-or-later,0,AGPL-3.0-or-later
SimPL-2.0,1,0,0,1,0,0,3,0,1,1,0,0,0,1,1,0,0,0,"GPL-2.0-only,GPL-2.0-or-later",0
LiLiQ-Rplus-1.1,1,1,1,1,0,1,3,0,1,1,0,0,0,1,1,Québec,0,0,"CPL-1.0,CECILL-2.1,EPL-1.0,EUPL-1.1,GPL-2.0-only,GPL-3.0-only,GPL-2.0-or-later,GPL-3.0-or-later",0
RPL-1.5,1,1,1,1,1,1,3,1,1,1,0,0,1,1,1,Colorado,1,0,0,0
NPOSL-3.0,1,0,0,1,1,1,3,1,1,1,0,1,1,1,1,0,0,0,0,0
MulanPubL-2.0,1,0,1,1,1,1,3,1,0,1,0,0,1,1,1,0,1,0,"AGPL-3.0-only,AGPL-3.0-or-later",0
OSL-3.0,1,0,1,1,1,1,3,1,1,1,0,1,1,1,1,0,0,0,0,0
