GNU GPLv3;GNU General Public License 3.0;GNU General Public License v3.0 only;GNU General Public License v3.0 or later;GNU General Public License, Version 3.0;GPL 3.0;GPL 3.0 or later;GPL-3.0;GPL-3.0-only;GPL-3.0-or-later;License :: OSI Approved :: GNU General Public License (GPL);License :: OSI Approved :: GNU General Public License v3 (GPLv3);gpl-3.0;gpl-3.0-plus
GNU LGPLv3;GNU Lesser General Public License 3.0;GNU Lesser General Public License v3.0 only;GNU Lesser General Public License v3.0 or later;GNU Lesser General Public License, Version 3.0;LGPL 3.0;LGPL 3.0 or later;LGPL-3.0;LGPL-3.0-only;LGPL-3.0-or-later;License :: OSI Approved :: GNU Lesser General Public License v3 (LGPLv3);License :: OSI Approved :: GNU Library or Lesser General Public License (LGPL);lgpl-3.0;lgpl-3.0-plus
GNU GPLv2;GNU General Public License 2.0;GNU General Public License v2.0 only;GNU General Public License v2.0 or later;GNU General Public License, Version 2.0;GPL 2.0;GPL 2.0 or later;GPL-2.0;GPL-2.0-only;GPL-2.0-or-later;License :: OSI Approved :: GNU General Public License v2 (GPLv2);gpl-2.0;gpl-2.0-plus
GNU LGPLv2.1;GNU Lesser General Public License 2.1;GNU Lesser General Public License v2.1 only;GNU Lesser General Public License v2.1 or later;GNU Lesser General Public License, Version 2.1;LGPL 2.1;LGPL 2.1 or later;LGPL-2.1;LGPL-2.1-only;LGPL-2.1-or-later;License :: OSI Approved :: GNU Lesser General Public License v2 (LGPLv2);lgpl-2.1;lgpl-2.1-plus
BSD 3-Clause "New" or "Revised" License;BSD 3-Clause "New" or "Revised" License (BSD-3-Clause);BSD 3-Clause License;BSD-3;BSD-3-Clause;BSD-3-clause;License :: OSI Approved :: BSD License;Modified BSD License;New BSD License;Revised BSD License;bsd-3-clause;bsd-new
BSD 2-Clause "Simplified" License;BSD 2-Clause "Simplified" or "FreeBSD" License (BSD-2-Clause);BSD 2-Clause License;BSD-2;BSD-2-Clause;BSD-2-clause;FreeBSD License;Simplified BSD License;bsd-2-clause;bsd-simplified
OSL 1.0;OSL 3.0;OSL-1.0;OSL-3.0;Open Software License 1.0;Open Software License 3.0;Open Software License, Version 1.0;Open Software License, Version 3.0;osl-1.0;osl-3.0
GNU Library General Public License 2.0;GNU Library General Public License v2 only;GNU Library General Public License v2 or later;LGPL 2.0;LGPL 2.0 or later;LGPL-2.0-only;LGPL-2.0-or-later;lgpl-2.0;lgpl-2.0-plus
CECILL-2.1;CeCILL 2.1;CeCILL Free Software License Agreement v2.1;CeCILL License 2.1;CeCILL-2.1;Cea Cnrs Inria Logiciel Libre License, Version 2.1;License :: OSI Approved :: CEA CNRS Inria Logiciel Libre License, version 2.1 (CeCILL-2.1);cecill-2.1
License :: OSI Approved :: University of Illinois/NCSA Open Source License;NCSA;NCSA Open Source License;The University of Illinois/NCSA Open Source License;UIUC/NCSA;University of Illinois/NCSA Open Source License;ncsa;uoi-ncsa
License :: OSI Approved :: W3C License;The W3C Software Notice and License;W3C;W3C License;W3C Software Notice and License;W3C Software Notice and License (2002-12-31);W3C Software Notice and License 20021231;w3c
CPL;CPL 1.0;CPL-1.0;Common Public License 1.0;Common Public License, Version 1.0;License :: OSI Approved :: Common Public License;cpl-1.0
EFL 2.0;EFL-2.0;Eiffel Forum License 2.0;Eiffel Forum License v2.0;Eiffel Forum License, Version 2;License :: OSI Approved :: Eiffel Forum License;efl-2.0
ICU;ICU License;X11;X11 License;X11-Style (X Consortium);x11;x11-xconsortium
IBM Public License 1.0;IBM Public License v1.0;IBM Public License, Version 1.0;IPL 1.0;IPL-1.0;License :: OSI Approved :: IBM Public License;ibmpl-1.0
Expat;License :: OSI Approved :: MIT License;MIT;MIT License;MIT license / X11 license;MIT/Expat License;mit
License :: OSI Approved :: Qt Public License (QPL);Q Public License;Q Public License 1.0;QPL 1.0;QPL-1.0;The Q Public License Version (QPL-1.0);qpl-1.0
License :: OSI Approved :: Sun Public License;SPL 1.0;SPL-1.0;Sun Public License 1.0;Sun Public License v1.0;Sun Public License, Version 1.0;spl-1.0
License :: OSI Approved :: Zope Public License;The Zope Public License, Version 2.0;ZPL 2.0;ZPL-2.0;Zope Public License 2.0;Zope-2.0;zpl-2.0
License :: OSI Approved :: zlib/libpng License;The zlib/libpng License (Zlib);ZLIB License;Zlib;zlib;zlib License;zlib/libpng license
AFL-3.0;Academic Free License 3.0;Academic Free License v3.0;Academic Free License, Version 3.0;License :: OSI Approved :: Academic Free License (AFL);afl-3.0
Apache License 2.0;Apache License, Version 2.0;Apache Software License 2.0;Apache-2.0;License :: OSI Approved :: Apache Software License;apache-2.0
CA Trusted Open Source License 1.1;CATOSL-1.1;Computer Associates Trusted Open Source License 1.1;Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1);Computer Associates Trusted Open Source License, Version 1.1;ca-tosl-1.1
CNRI Python 1.6;CNRI Python License;CNRI portion of the multi-part Python License;CNRI-Python;License :: OSI Approved :: Python License (CNRI Python License);cnri-python-1.6
ECL 1.0;ECL-1.0;Educational Community License 1.0;Educational Community License v1.0;Educational Community License, Version 1.0;ecl-1.0
ECL 2.0;ECL-2.0;Educational Community License 2.0;Educational Community License v2.0;Educational Community License, Version 2.0;ecl-2.0
EUPL 1.1;EUPL-1.1;European Union Public License 1.1;European Union Public License, Version 1.1;License :: OSI Approved :: European Union Public Licence 1.1 (EUPL 1.1);eupl-1.1
Entessa;Entessa 1.0;Entessa Public License;Entessa Public License 1.0;Entessa Public License v1.0;entessa-1.0
Frameworx 1.0;Frameworx License 1.0;Frameworx License, Version 1.0;Frameworx Open License 1.0;Frameworx-1.0;frameworx-1.0
ISC;ISC License;ISC License (ISC);ISC license;License :: OSI Approved :: ISC License (ISCL);isc
Intel;Intel BSD - Export Control;Intel Open Source License;License :: OSI Approved :: Intel Open Source License;The Intel Open Source License;intel-bsd-export-control
LPL-1.0;Lucent Public License ("Plan9") 1.0;Lucent Public License 1.0;Lucent Public License Version 1.0;Lucent Public License, Plan 9, Version 1.0;lucent-pl-1.0
LPPL 1.3c;LPPL-1.3c;LaTeX Project Public License 1.3c;LaTeX Project Public License v1.3c;LaTeX Project Public License, Version 1.3c;lppl-1.3c
License :: OSI Approved :: Mozilla Public License 1.0 (MPL);MPL 1.0;MPL-1.0;Mozilla Public License 1.0;Mozilla Public License, Version 1.0;mpl-1.0
License :: OSI Approved :: Mozilla Public License 1.1 (MPL 1.1);MPL 1.1;MPL-1.1;Mozilla Public License 1.1;Mozilla Public License, Version 1.1;mpl-1.1
License :: OSI Approved :: Mozilla Public License 2.0 (MPL 2.0);MPL 2.0;MPL-2.0;Mozilla Public License 2.0;Mozilla Public License, Version 2.0;mpl-2.0
License :: OSI Approved :: Motosoto License;Motosoto;Motosoto 0.9.1;Motosoto License;Motosoto Open Source License, Version 0.9.1;motosoto-0.9.1
MIT Old Style no advertising;NTP;NTP License;NTP License (NTP);mit-old-style-no-advert;ntpl
License :: OSI Approved :: Nokia Open Source License;NOKOS License 1.0a;Nokia;Nokia Open Source License;Nokia Open Source License, Version 1.0a;nokos-1.0a
OFL 1.1;OFL-1.1;Open Font License 1.1;SIL Open Font License 1.1;SIL Open Font License, Version 1.1;ofl-1.1
OpenSSL;OpenSSL License;OpenSSL license;OpenSSL/SSLeay License;openssl;openssl-ssleay
License :: OSI Approved :: Python Software Foundation License;Python License 2.0;Python License, Version 2.0;Python Software Foundation License 2;Python-2.0;python
License :: OSI Approved :: Ricoh Source Code Public License;RSCPL;Ricoh Source Code Public License;Ricoh Source Code Public License 1.0;The Ricoh Source Code Public License;ricoh-1.0
License :: OSI Approved :: Sun Industry Standards Source License (SISSL);SISSL;Sun Industry Standards Source License;Sun Industry Standards Source License 1.1;Sun Industry Standards Source License v1.1;sun-sissl-1.1
SimPL 2.0;SimPL-2.0;Simple Public License (SimPL-2.0);Simple Public License 2.0;Simple-2.0;simpl-2.0
License :: OSI Approved :: Vovida Software License 1.0;The Vovida Software License, Version 1.0;VSL-1.0;Vovida Software License 1.0;Vovida Software License v1.0;vsl-1.0
Do What The F*ck You Want To Public License;Do What The Fuck You Want To Public License (WTFPL) 2;WTFPL;WTFPL 2.0;wtfpl;wtfpl-2.0
Altera License;License :: OSI Approved :: X.Net License;The X.Net, Inc. License;X.Net License;Xnet;xnet
AGPL-3.0;GNU AFFERO GENERAL PUBLIC LICENSE, Version 3 (AGPL-3.0);GNU AGPLv3;GNU Affero General Public License v3;License :: OSI Approved :: GNU Affero General Public License v3;agpl-3.0
AGPL-3.0-only;AGPL-3.0-or-later;GNU Affero General Public License 3.0;GNU Affero General Public License v3.0 only;GNU Affero General Public License v3.0 or later
Artistic License 2.0;Artistic License, Version 2.0;Artistic-2.0;License :: OSI Approved :: Artistic License;artistic-2.0
BSD 3-Clause Clear License;BSD-3-Clause-Clear;Clear BSD License;bsd-3-clause-clear;clear-bsd
BSL-1.0;Boost Software License 1.0;Boost Software License 1.0 (BSL-1.0);Business Source License 1.0;bsl-1.0
CC-BY 4.0;CC-BY-4.0;Creative Commons Attribution 4.0;Creative Commons Attribution 4.0 International;cc-by-4.0
CC-BY-SA 4.0;CC-BY-SA-4.0;Creative Commons Attribution Share Alike 4.0 International;Creative Commons Attribution Share-Alike 4.0;cc-by-sa-4.0
CC0 1.0;CC0-1.0;Creative Commons Zero 1.0;Creative Commons Zero v1.0 Universal;cc0-1.0
CDDL 1.0;CDDL-1.0;Common Development and Distribution License 1.0;Common Development and Distribution License, Version 1.0;cddl-1.0
CPAL 1.0;CPAL-1.0;Common Public Attribution License 1.0;Common Public Attribution License Version 1.0 (CPAL-1.0);cpal-1.0
CUA Office Public License;CUA Office Public License 1.0;CUA Office Public License v1.0;CUA-OPL-1.0;cua-opl-1.0
EFL 1.0;EFL-1.0;Eiffel Forum License v1.0;The Eiffel Forum License, Version 1;efl-1.0
EPL 1.0;EPL-1.0;Eclipse Public License 1.0;Eclipse Public License, Version 1.0;epl-1.0
EUPL 1.2;EUPL-1.2;European Union Public Licence 1.2;European Union Public License 1.2;eupl-1.2
LPL-1.02;Lucent Public License 1.02;Lucent Public License v1.02;Lucent Public License, Version 1.02;lucent-pl-1.02
CMU License;CMU UC Regents License;MIT-CMU;cmu-template;cmu-uc
MS-PL;Microsoft Public License;Microsoft Public License (MS-PL);Ms-PL;ms-pl
MirOS;MirOS Licence;MirOS License;The MirOS Licence (MirOS);mir-os
NASA 1.3;NASA Open Source Agreement 1.3;NASA Open Source Agreement, Version 1.3;NASA-1.3;nasa-1.3
License :: OSI Approved :: Nethack General Public License;NGPL;Nethack General Public License;The Nethack General Public License;ngpl
NPL 1.1;NPL-1.1;Netscape Public License 1.1;Netscape Public License v1.1;npl-1.1
NPOSL-3.0;Non-Profit OSL 3.0;Non-Profit Open Software License 3.0;The Non-Profit Open Software License, Version 3.0;nosl-3.0
ODC Open Database License v1.0;ODbL 1.0;ODbL-1.0;Open Data Commons Open Database License 1.0;odbl-1.0
License :: OSI Approved :: Open Group Test Suite License;OGTSL;Open Group Test Suite License;The Open Group Test Suite License (OGTSL);opengroup
OSL 2.1;OSL-2.1;Open Software License 2.1;Open Software License, Version 2.1;osl-2.1
ODC Public Domain Dedication & License 1.0;Open Data Commons Public Domain Dedication and Licence 1.0;PDDL 1.0;PDDL-1.0;pddl-1.0
PHP License 3.0;PHP License v3.0;PHP-3.0;The PHP License, Version 3.0;php-3.0
RPL 1.1;RPL-1.1;Reciprocal Public License 1.1;Reciprocal Public License, Version 1.1;rpl-1.1
RPL 1.5;RPL-1.5;Reciprocal Public License 1.5;Reciprocal Public License, Version 1.5;rpl-1.5
RPSL-1.0;RealNetworks Public Source License 1.0;RealNetworks Public Source License v1.0;RealNetworks Public Source License, Version 1.0;rpsl-1.0
License :: OSI Approved :: Sleepycat License;Sleepycat;Sleepycat License;The Sleepycat License;sleepycat
Open Watcom 1.0;Sybase Open Watcom Public License 1.0;The Sybase Open Source Licence;Watcom-1.0;sybase
0BSD;0bsd;BSD Zero Clause License;bsd-zero
AAL;Attribution Assurance License;Attribution Assurance Licenses;License :: OSI Approved :: Attribution Assurance License
APSL-2.0;Apple Public Source License 2.0;Apple Public Source License, Version 2.0;License :: OSI Approved :: Apple Public Source License
Apache License 1.1;Apache Software License 1.1;Apache Software License, Version 1.1;Apache-1.1
BSD-2-Clause Plus Patent;BSD-2-Clause Plus Patent License;BSD-2-Clause-Patent;bsd-plus-patent
BSD Acknowledgment License;BSD with attribution;BSD-3-Clause-Attribution;bsd-ack
BSD-3-Clause-LBNL;LBNL BSD Variant;Lawrence Berkeley National Labs BSD variant license;lbnl-bsd
BSD 3-Clause No Nuclear License;BSD-3-Clause-No-Nuclear-License;Sun BSD-Style with Nuclear Restrictions;sun-bsd-no-nuclear
BSD 3-Clause No Nuclear License 2014;BSD-3-Clause-No-Nuclear-License-2014;Oracle BSD-Style with Nuclear Restrictions;oracle-bsd-no-nuclear
BSD 4-Clause "Original" or "Old" License;BSD-4-Clause;BSD-Original;bsd-original
BSD-4-Clause (University of California-Specific);BSD-4-Clause-UC;BSD-Original-UC;bsd-original-uc
CC-BY-NC-4.0;Creative Commons Attribution Non Commercial 4.0 International;Creative Commons Attribution-NonCommercial 4.0;cc-by-nc-4.0
CC-BY-NC-ND-4.0;Creative Commons Attribution Non Commercial No Derivatives 4.0 International;Creative Commons Attribution NonCommercial No-Derivatives 4.0;cc-by-nc-nd-4.0
CC-BY-NC-SA-4.0;Creative Commons Attribution Non Commercial Share Alike 4.0 International;Creative Commons Attribution NonCommercial Share-Alike 4.0;cc-by-nc-sa-4.0
CC-BY-ND-4.0;Creative Commons Attribution No Derivatives 4.0 International;Creative Commons Attribution No-Derivatives 4.0;cc-by-nd-4.0
CDDL 1.1;CDDL-1.1;Common Development and Distribution License 1.1;cddl-1.1
CDLA Permissive 1.0;CDLA-Permissive-1.0;Community Data License Agreement Permissive 1.0;cdla-permissive-1.0
CDLA Sharing 1.0;CDLA-Sharing-1.0;Community Data License Agreement Sharing 1.0;cdla-sharing-1.0
CECILL-1.0;CeCILL 1.0;CeCILL Free Software License Agreement v1.0;cecill-1.0
CECILL-1.1;CeCILL 1.1 English;CeCILL Free Software License Agreement v1.1;cecill-1.1
CECILL-2.0;CeCILL 2.0;CeCILL Free Software License Agreement v2.0;cecill-2.0
CECILL-B;CeCILL-B Free Software License Agreement;CeCILL-B License;cecill-b
CECILL-C;CeCILL-C Free Software License Agreement;CeCILL-C License;cecill-c
CNRI Python 1.6.1;CNRI Python Open Source GPL Compatible License Agreement;CNRI-Python-GPL-Compatible;cnri-python-1.6.1
CPOL 1.02;CPOL-1.02;Code Project Open License 1.02;cpol-1.02
Condor Public License 1.1;Condor Public License v1.1;Condor-1.1;condor-1.1
Crystal Stacker License;CrystalStacker;CrystalStacker License;crystal-stacker
EPL 2.0;EPL-2.0;Eclipse Public License 2.0;epl-2.0
EUPL 1.0;EUPL-1.0;European Union Public License 1.0;eupl-1.0
ErlPL-1.1;Erlang Public License 1.1;Erlang Public License v1.1;erlangpl-1.1
FSF Free Software License;FSF Unlimited License;FSFUL;fsf-free
FSF Unlimited License (with License Retention);FSF-Unlimited;FSFULLR;fsf-unlimited
FTL;FreeType Project License;Freetype Project License;freetype
Fair;Fair License;Fair License (Fair);fair
FreeImage;FreeImage Public License 1.0;FreeImage Public License v1.0;freeimage-1.0
GFDL 1.1;GFDL-1.1-only;GNU Free Documentation License v1.1 only;gfdl-1.1
GFDL 1.1 or later;GFDL-1.1-or-later;GNU Free Documentation License v1.1 or later;gfdl-1.1-plus
GFDL 1.2;GFDL-1.2-only;GNU Free Documentation License v1.2 only;gfdl-1.2
GFDL 1.2 or later;GFDL-1.2-or-later;GNU Free Documentation License v1.2 or later;gfdl-1.2-plus
GFDL 1.3;GFDL-1.3-only;GNU Free Documentation License v1.3 only;gfdl-1.3
GFDL 1.3 or later;GFDL-1.3-or-later;GNU Free Documentation License v1.3 or later;gfdl-1.3-plus
GNU General Public License v1.0 only;GPL 1.0;GPL-1.0-only;gpl-1.0
GNU General Public License v1.0 or later;GPL 1.0 or later;GPL-1.0-or-later;gpl-1.0-plus
3DFX GLIDE;3dfx Glide License;Glide;glide
Haskell Language Report License;Haskell Report License;HaskellReport;haskell-report
IBM PowerPC Initialization and Boot Software;IBM PowerPC Software;IBM-pibs;ibm-pibs
IJG;Independent JPEG Group License;JPEG License;ijg
IPA;IPA Font License;IPA Font License 1.0;ipa-font
Info-ZIP;Info-ZIP License;Info-Zip License;info-zip
Intel ACPI SLA;Intel ACPI Software License Agreement;Intel-ACPI;intel-acpi
Interbase Public License 1.0;Interbase Public License v1.0;Interbase-1.0;interbase-1.0
JasPer 2.0;JasPer License;JasPer-2.0;jasper-2.0
LPPL 1.0;LPPL-1.0;LaTeX Project Public License v1.0;lppl-1.0
LPPL 1.1;LPPL-1.1;LaTeX Project Public License v1.1;lppl-1.1
LPPL 1.2;LPPL-1.2;LaTeX Project Public License v1.2;lppl-1.2
LPPL 1.3a;LPPL-1.3a;LaTeX Project Public License v1.3a;lppl-1.3a
LiLiQ-P-1.1;Licence Libre du Québec – Permissive version 1.1;Licence Libre du Québec – Permissive, Version 1.1;liliq-p-1.1
LiLiQ-R-1.1;Licence Libre du Québec – Réciprocité version 1.1;Licence Libre du Québec – Réciprocité, Version 1.1;liliq-r-1.1
Libpng;Libpng License;libpng;libpng License
MIT No Attribution;MIT-0;MIT-0-Clause;mit-0
EFL MIT-Style License;Enlightenment License (e16);MIT-advertising;enlightenment
MIT Acknowledgment License;MIT-feh;feh License;mit-ack
MIT +no-false-attribs license;MIT no false attribution License;MITNFA;mit-no-false-attribs
MPL 2.0 with no copyleft exception;MPL-2.0-no-copyleft-exception;Mozilla Public License 2.0 (no copyleft exception);mpl-2.0-no-copyleft-exception
MS-RL;Microsoft Reciprocal License;Microsoft Reciprocal License (MS-RL);ms-rl
MakeIndex;MakeIndex Distribution Notice;MakeIndex License;makeindex
NOSL;NOSL 1.0;Netizen Open Source License;nosl-1.0
NPL 1.0;NPL-1.0;Netscape Public License v1.0;npl-1.0
NAUMEN Public License;Naumen;Naumen Public License;naumen
Net SNMP License;Net-SNMP;Net-SNMP License;net-snmp
NetCDF;NetCDF License;NetCDF license;netcdf
OCLC Research Public License 2.0;OCLC-2.0;The OCLC Research Public License, Version 2.0;oclc-2.0
OFL 1.0;OFL-1.0;SIL Open Font License 1.0;ofl-1.0
OGL-UK-1.0;Open Government Licence 1.0 (United Kingdom);Open Government Licence v1.0;ogl-uk-1.0
OGL-UK-2.0;Open Government Licence 2.0 (United Kingdom);Open Government Licence v2.0;ogl-uk-2.0
OGL-UK-3.0;Open Government Licence 3.0 (United Kingdom);Open Government Licence v3.0;ogl-uk-3.0
OLDAP-1.1;Open LDAP Public License v1.1;OpenLDAP Public License 1.1;openldap-1.1
OLDAP-1.2;Open LDAP Public License v1.2;OpenLDAP Public License 1.2;openldap-1.2
OLDAP-1.3;Open LDAP Public License v1.3;OpenLDAP Public License 1.3;openldap-1.3
OLDAP-1.4;Open LDAP Public License v1.4;OpenLDAP Public License 1.4;openldap-1.4
OLDAP-2.0;Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B);OpenLDAP Public License 2.0;openldap-2.0
OLDAP-2.0.1;Open LDAP Public License v2.0.1;OpenLDAP Public License 2.0.1;openldap-2.0.1
OLDAP-2.1;Open LDAP Public License v2.1;OpenLDAP Public License 2.1;openldap-2.1
OLDAP-2.2;Open LDAP Public License v2.2;OpenLDAP Public License 2.2;openldap-2.2
OLDAP-2.2.1;Open LDAP Public License v2.2.1;OpenLDAP Public License 2.2.1;openldap-2.2.1
OLDAP-2.2.2;Open LDAP Public License 2.2.2;OpenLDAP Public License 2.2.2;openldap-2.2.2
OLDAP-2.3;Open LDAP Public License v2.3;OpenLDAP Public License 2.3;openldap-2.3
OLDAP-2.4;Open LDAP Public License v2.4;OpenLDAP Public License 2.4;openldap-2.4
OLDAP-2.5;Open LDAP Public License v2.5;OpenLDAP Public License 2.5;openldap-2.5
OLDAP-2.6;Open LDAP Public License v2.6;OpenLDAP Public License 2.6;openldap-2.6
OLDAP-2.7;Open LDAP Public License v2.7;OpenLDAP Public License 2.7;openldap-2.7
OLDAP-2.8;Open LDAP Public License v2.8;OpenLDAP Public License 2.8;openldap-2.8
FastCGI DevKit;OML;Open Market License;fastcgi-devkit
OPL-1.0;Open Public License 1.0;Open Public License v1.0;open-public
OSL 1.1;OSL-1.1;Open Software License 1.1;osl-1.1
OSL 2.0;OSL-2.0;Open Software License 2.0;osl-2.0
PHP License 3.01;PHP License v3.01;PHP-3.01;php-3.01
Dom4j License;Plexus;Plexus Classworlds License;dom4j
PostgreSQL;PostgreSQL License;The PostgreSQL Licence;postgresql
RHeCos-1.1;Red Hat eCos Public License 1.1;Red Hat eCos Public License v1.1;ecosrh-1.1
RSA Message-Digest License ;RSA-MD;RSA-MD5 License;rsa-md5
SCEA;SCEA Shared Source License;SCEA Shared Source License 1.0;scea-1.0
SGI Free Software License B 1.0;SGI Free Software License B v1.0;SGI-B-1.0;sgi-fslb-1.0
SGI Free Software License B 1.1;SGI Free Software License B v1.1;SGI-B-1.1;sgi-freeb-1.1
SGI Free Software License B 2.0;SGI Free Software License B v2.0;SGI-B-2.0;sgi-freeb-2.0
SISSL-1.2;Sun Industry Standards Source License 1.2;Sun Industry Standards Source License v1.2;sun-sissl-1.2
SMLNJ;Standard ML of New Jersey;Standard ML of New Jersey License;standard-ml-nj
SWL;Scheme Widget Library (SWL) Software License;Scheme Widget Library (SWL) Software License Agreement;swl
Regexp License;Spencer License 86;Spencer-86;regexp
Henry Spencer Regexp License;Spencer License 94;Spencer-94;hs-regexp
Henry Spencer License 1999;Spencer License 99;Spencer-99;henry-spencer-1999
SugarCRM Public License 1.1.3;SugarCRM Public License v1.1.3;SugarCRM-1.1.3;sugarcrm-1.1.3
TORQUE 1.1;TORQUE v2.5+ Software License v1.1;TORQUE-1.1;torque-1.1
TOSL;TOSL 1.0a;Trusster Open Source License;tosl
TU Berlin License 1.0;TU-Berlin-1.0;Technische Universitaet Berlin License 1.0;tu-berlin
TU Berlin License 2.0;TU-Berlin-2.0;Technische Universitaet Berlin License 2.0;tu-berlin-2.0
UPL 1.0;UPL-1.0;Universal Permissive License v1.0;upl-1.0
Unicode DFS 2015;Unicode License Agreement - Data Files and Software (2015);Unicode-DFS-2015;unicode-dfs-2015
Unicode DFS 2016;Unicode License Agreement - Data Files and Software (2016);Unicode-DFS-2016;unicode-dfs-2016
The Unlicense;Unlicense;Unlicense 1;unlicense
VOSTROM;VOSTROM Public License;VOSTROM Public License for Open Source;vostrom
VIM License;Vim;Vim License;vim
W3C Software Notice and License (1998-07-20);W3C-19980720;W3C-SOFTWARE-19980720;w3c-software-19980720
W3C Software Notice and Document License (2015-05-13);W3C-20150513;W3C-SOFTWARE-DOC-20150513;w3c-software-doc-20150513
XFree86 1.1 License;XFree86 License 1.1;XFree86-1.1;xfree86-1.1
MIT with Export Control;Xerox;Xerox License;mit-export-control
YPL 1.0;YPL-1.0;Yahoo! Public License v1.0;ypl-1.0
YPL 1.1;YPL-1.1;Yahoo! Public License v1.1;ypl-1.1
ZPL 1.1;ZPL-1.1;Zope Public License 1.1;zpl-1.1
ZPL 2.1;ZPL-2.1;Zope Public License 2.1;zpl-2.1
Zend Engine License 2.0;Zend License v2.0;Zend-2.0;zend-2.0
ZPL 1.3;Zimbra Public License v1.3;Zimbra-1.3;zimbra-1.3
ZPL 1.4;Zimbra Public License v1.4;Zimbra-1.4;zimbra-1.4
bzip2 License 2010;bzip2 and libbzip2 License v1.0.6;bzip2-1.0.6;bzip2-libbzip-2010
eGenix;eGenix Public License 1.1.0;eGenix.com Public License 1.1.0;egenix-1.1.0
SFL License Agreement;iMatix;iMatix Standard Function Library Agreement;sfl-license
LIbpng License v2;PNG Reference Library version 2;libpng-2.0;libpng-v2
