license,count_str,count_0,count_1,count
MIT,2.07M Packages,2.07M,2070000,2070000
ISC,664K Packages,664K,664000,664000
Apache-2.0,537K Packages,537K,537000,537000
BSD-3-Clause,125K Packages,125K,125000,125000
libpng-2.0,90.2K Packages,90.2K,90200,90200
GPL-3.0,82.7K Packages,82.7K,82700,82700
Unlicense,30.9K Packages,30.9K,30900,30900
CNRI-Python-GPL-Compatible,27.6K Packages,27.6K,27600,27600
LGPL-3.0,24.9K Packages,24.9K,24900,24900
AGPL-3.0,24.9K Packages,24.9K,24900,24900
BSD-2-Clause,23.3K Packages,23.3K,23300,23300
Artistic-1.0-Perl,21.5K Packages,21.5K,21500,21500
EPL-2.0,20.4K Packages,20.4K,20400,20400
GPL-2.0+,19.1K Packages,19.1K,19100,19100
GPL-2.0,18.6K Packages,18.6K,18600,18600
MPL-2.0,18.6K Packages,18.6K,18600,18600
ICU,16.9K Packages,16.9K,16900,16900
EPL-1.0,14.9K Packages,14.9K,14900,14900
GPL-3.0+,10.9K Packages,10.9K,10900,10900
SSPL-1.0,10.1K Packages,10.1K,10100,10100
LGPL-2.1+,8.34K Packages,8.34K,8340,8340
BSD-1-Clause,8.06K Packages,8.06K,8060,8060
WTFPL,7.06K Packages,7.06K,7060,7060
LGPL-2.1,6.14K Packages,6.14K,6140,6140
CC0-1.0,5.75K Packages,5.75K,5750,5750
GPL-3.0,5.44K Packages,5.44K,5440,5440
OSL-3.0,5.43K Packages,5.43K,5430,5430
MulanPSL-2.0,5.05K Packages,5.05K,5050,5050
AFL-3.0,3.98K Packages,3.98K,3980,3980
MIT-feh,3.87K Packages,3.87K,3870,3870
Artistic-2.0,2.95K Packages,2.95K,2950,2950
LGPL-3.0+,2.4K Packages,2.4K,2400,2400
CERN-OHL-P-2.0,2.38K Packages,2.38K,2380,2380
GPL-2.0-with-classpath-exception,2.23K Packages,2.23K,2230,2230
LGPL-3.0,2.09K Packages,2.09K,2090,2090
GPL-2.0,1.95K Packages,1.95K,1950,1950
BSL-1.0,1.6K Packages,1.6K,1600,1600
Zlib,1.55K Packages,1.55K,1550,1550
LGPL-2.0,1.48K Packages,1.48K,1480,1480
ECL-2.0,1.47K Packages,1.47K,1470,1470
BSD-3-Clause-Attribution,1.46K Packages,1.46K,1460,1460
CC-BY-4.0,1.46K Packages,1.46K,1460,1460
MS-PL,1.44K Packages,1.44K,1440,1440
EUPL-1.2,1.42K Packages,1.42K,1420,1420
EUPL-1.1,1.36K Packages,1.36K,1360,1360
AGPL-3.0,1.23K Packages,1.23K,1230,1230
xpp,1.21K Packages,1.21K,1210,1210
DSDP,1.19K Packages,1.19K,1190,1190
0BSD,1.04K Packages,1.04K,1040,1040
GPL-2.0+,1.01K Packages,1.01K,1010,1010
AAL,1.01K Packages,1.01K,1010,1010
ZPL-2.1,942 Packages,942,942,942
BSD-2-Clause-NetBSD,935 Packages,935,935,935
AML,919 Packages,919,919,919
CC-BY-SA-4.0,822 Packages,822,822,822
OML,799 Packages,799,799,799
Zed,795 Packages,795,795,795
OFL-1.1,783 Packages,783,783,783
CDDL-1.1,779 Packages,779,779,779
Python-2.0,742 Packages,742,742,742
Abstyles,704 Packages,704,704,704
CDDL-1.0,640 Packages,640,640,640
QPL-1.0,627 Packages,627,627,627
Unicode-TOU,620 Packages,620,620,620
UPL-1.0,608 Packages,608,608,608
Sendmail,605 Packages,605,605,605
OFL-1.1-RFN,593 Packages,593,593,593
LGPL-2.1,590 Packages,590,590,590
MulanPSL-1.0,578 Packages,578,578,578
BSD-4-Clause,572 Packages,572,572,572
BSD-2-Clause-FreeBSD,547 Packages,547,547,547
Beerware,545 Packages,545,545,545
NTP,539 Packages,539,539,539
Intel-ACPI,534 Packages,534,534,534
PolyForm-Noncommercial-1.0.0,524 Packages,524,524,524
MirOS,520 Packages,520,520,520
CPAL-1.0,466 Packages,466,466,466
X11,452 Packages,452,452,452
OpenSSL,443 Packages,443,443,443
NCSA,442 Packages,442,442,442
CC-BY-NC-SA-4.0,425 Packages,425,425,425
NASA-1.3,419 Packages,419,419,419
AGPL-1.0,416 Packages,416,416,416
CERN-OHL-W-2.0,409 Packages,409,409,409
Fair,405 Packages,405,405,405
MPL-1.1,394 Packages,394,394,394
Ruby,364 Packages,364,364,364
TMate,353 Packages,353,353,353
NGPL,329 Packages,329,329,329
Aladdin,325 Packages,325,325,325
CC-BY-NC-SA-2.5,313 Packages,313,313,313
FTL,313 Packages,313,313,313
BSD-3-Clause-Clear,297 Packages,297,297,297
CC-BY-NC-ND-4.0,274 Packages,274,274,274
CC-BY-3.0,271 Packages,271,271,271
CECILL-2.1,267 Packages,267,267,267
CC-BY-SA-3.0,263 Packages,263,263,263
CECILL-C,258 Packages,258,258,258
LGPL-2.0+,255 Packages,255,255,255
Artistic-1.0,252 Packages,252,252,252
FSFAP,246 Packages,246,246,246
GPL-3.0-or-later,238 Packages,238,238,238
PSF-2.0,237 Packages,237,237,237
JSON,219 Packages,219,219,219
MIT-enna,209 Packages,209,209,209
Spencer-99,206 Packages,206,206,206
CECILL-B,205 Packages,205,205,205
NCGL-UK-2.0,205 Packages,205,205,205
Vim,203 Packages,203,203,203
DOC,199 Packages,199,199,199
Intel,195 Packages,195,195,195
MIT-0,190 Packages,190,190,190
HPND-sell-variant,183 Packages,183,183,183
CC-BY-NC-4.0,181 Packages,181,181,181
Artistic-1.0-cl8,171 Packages,171,171,171
LAL-1.3,171 Packages,171,171,171
CERN-OHL-S-2.0,165 Packages,165,165,165
MS-RL,159 Packages,159,159,159
OSET-PL-2.1,156 Packages,156,156,156
BlueOak-1.0.0,149 Packages,149,149,149
Nunit,149 Packages,149,149,149
MITNFA,144 Packages,144,144,144
JasPer-2.0,141 Packages,141,141,141
Libpng,139 Packages,139,139,139
Plexus,138 Packages,138,138,138
SAX-PD,136 Packages,136,136,136
Apache-1.1,134 Packages,134,134,134
OGTSL,126 Packages,126,126,126
xinetd,121 Packages,121,121,121
FSFUL,119 Packages,119,119,119
Imlib2,119 Packages,119,119,119
Noweb,119 Packages,119,119,119
Xerox,116 Packages,116,116,116
CPL-1.0,113 Packages,113,113,113
PostgreSQL,113 Packages,113,113,113
NetCDF,112 Packages,112,112,112
CC-BY-NC-SA-3.0,110 Packages,110,110,110
W3C,109 Packages,109,109,109
O-UDA-1.0,106 Packages,106,106,106
PHP-3.0,106 Packages,106,106,106
gnuplot,106 Packages,106,106,106
NTP-0,103 Packages,103,103,103
CC-BY-ND-4.0,100 Packages,100,100,100
CC-BY-NC-ND-3.0,98 Packages,98,98,98
LGPL-2.0-only,97 Packages,97,97,97
CPOL-1.02,94 Packages,94,94,94
MPL-2.0-no-copyleft-exception,93 Packages,93,93,93
RSCPL,92 Packages,92,92,92
Barr,91 Packages,91,91,91
CC-BY-2.5,91 Packages,91,91,91
IPL-1.0,89 Packages,89,89,89
PDDL-1.0,88 Packages,88,88,88
CC-BY-NC-2.5,85 Packages,85,85,85
BSD-3-Clause-LBNL,81 Packages,81,81,81
RPL-1.5,80 Packages,80,80,80
SGI-B-2.0,80 Packages,80,80,80
BSD-2-Clause-Patent,78 Packages,78,78,78
Hippocratic-2.1,75 Packages,75,75,75
APSL-2.0,71 Packages,71,71,71
GPL-1.0,70 Packages,70,70,70
NLPL,69 Packages,69,69,69
Saxpath,69 Packages,69,69,69
BSD-Protection,68 Packages,68,68,68
Multics,68 Packages,68,68,68
Unicode-DFS-2016,68 Packages,68,68,68
GFDL-1.3,67 Packages,67,67,67
Nokia,66 Packages,66,66,66
Parity-6.0.0,62 Packages,62,62,62
ADSL,61 Packages,61,61,61
Caldera,61 Packages,61,61,61
SCEA,61 Packages,61,61,61
wxWindows,58 Packages,58,58,58
IPA,55 Packages,55,55,55
LPL-1.02,51 Packages,51,51,51
CDLA-Sharing-1.0,50 Packages,50,50,50
Mup,50 Packages,50,50,50
Qhull,49 Packages,49,49,49
OLDAP-2.8,48 Packages,48,48,48
BSD-3-Clause-Open-MPI,47 Packages,47,47,47
EFL-2.0,47 Packages,47,47,47
Zend-2.0,46 Packages,46,46,46
GFDL-1.3-or-later,45 Packages,45,45,45
ODbL-1.0,45 Packages,45,45,45
SMLNJ,45 Packages,45,45,45
SSH-short,45 Packages,45,45,45
LGPLLR,44 Packages,44,44,44
zlib-acknowledgement,44 Packages,44,44,44
OGL-UK-3.0,43 Packages,43,43,43
FSFULLR,42 Packages,42,42,42
NRL,42 Packages,42,42,42
HPND,41 Packages,41,41,41
PHP-3.01,41 Packages,41,41,41
Xnet,41 Packages,41,41,41
XFree86-1.1,40 Packages,40,40,40
GPL-1.0+,39 Packages,39,39,39
GPL-3.0-with-GCC-exception,38 Packages,38,38,38
TCL,38 Packages,38,38,38
CC-BY-NC-3.0,37 Packages,37,37,37
GPL-2.0-with-font-exception,37 Packages,37,37,37
OCCT-PL,37 Packages,37,37,37
AFL-2.0,36 Packages,36,36,36
psfrag,36 Packages,36,36,36
CC-BY-SA-2.5,34 Packages,34,34,34
Sleepycat,34 Packages,34,34,34
W3C-20150513,33 Packages,33,33,33
CC-PDDC,32 Packages,32,32,32
MPL-1.0,32 Packages,32,32,32
SimPL-2.0,32 Packages,32,32,32
iMatix,32 Packages,32,32,32
Adobe-2006,31 Packages,31,31,31
CC-BY-2.0,31 Packages,31,31,31
CC-BY-SA-2.0,31 Packages,31,31,31
Info-ZIP,31 Packages,31,31,31
BSD-Source-Code,30 Packages,30,30,30
SSH-OpenSSH,27 Packages,27,27,27
APAFML,26 Packages,26,26,26
ClArtistic,26 Packages,26,26,26
Apache-1.0,25 Packages,25,25,25
LGPL-3.0-or-later,25 Packages,25,25,25
Latex2e,25 Packages,25,25,25
SPL-1.0,25 Packages,25,25,25
Cube,24 Packages,24,24,24
CDLA-Permissive-1.0,23 Packages,23,23,23
SWL,23 Packages,23,23,23
AFL-2.1,22 Packages,22,22,22
NPOSL-3.0,22 Packages,22,22,22
MTLL,20 Packages,20,20,20
Naumen,20 Packages,20,20,20
XSkat,20 Packages,20,20,20
curl,19 Packages,19,19,19
libselinux-1.0,19 Packages,19,19,19
BSD-3-Clause-No-Nuclear-Warranty,18 Packages,18,18,18
Giftware,18 Packages,18,18,18
TOSL,18 Packages,18,18,18
AMPAS,17 Packages,17,17,17
SMPPL,17 Packages,17,17,17
LPPL-1.2,16 Packages,16,16,16
MakeIndex,16 Packages,16,16,16
AGPL-3.0-or-later,15 Packages,15,15,15
BSD-3-Clause-No-Nuclear-License,15 Packages,15,15,15
CC-BY-1.0,15 Packages,15,15,15
OFL-1.0-RFN,15 Packages,15,15,15
ZPL-2.0,15 Packages,15,15,15
CAL-1.0,14 Packages,14,14,14
GFDL-1.3-only,14 Packages,14,14,14
ODC-By-1.0,14 Packages,14,14,14
BSD-4-Clause-UC,13 Packages,13,13,13
GL2PS,13 Packages,13,13,13
HaskellReport,13 Packages,13,13,13
Interbase-1.0,13 Packages,13,13,13
OCLC-2.0,13 Packages,13,13,13
etalab-2.0,13 Packages,13,13,13
Eurosym,12 Packages,12,12,12
AFL-1.1,11 Packages,11,11,11
CNRI-Jython,11 Packages,11,11,11
IBM-pibs,11 Packages,11,11,11
IJG,11 Packages,11,11,11
LPL-1.0,11 Packages,11,11,11
Linux-OpenIB,11 Packages,11,11,11
MIT-advertising,11 Packages,11,11,11
NOSL,11 Packages,11,11,11
Rdisc,11 Packages,11,11,11
YPL-1.1,11 Packages,11,11,11
CC-BY-NC-ND-2.5,10 Packages,10,10,10
eGenix,10 Packages,10,10,10
APL-1.0,9 Packages,9,9,9
CC-BY-ND-3.0,9 Packages,9,9,9
Dotseqn,9 Packages,9,9,9
MIT-CMU,9 Packages,9,9,9
OPL-1.0,9 Packages,9,9,9
OSL-2.0,9 Packages,9,9,9
TAPR-OHL-1.0,9 Packages,9,9,9
libtiff,9 Packages,9,9,9
AGPL-1.0-only,8 Packages,8,8,8
CC-BY-NC-2.0,8 Packages,8,8,8
dvipdfm,8 Packages,8,8,8
CC-BY-NC-1.0,7 Packages,7,7,7
CC-BY-NC-SA-2.0,7 Packages,7,7,7
GPL-1.0-or-later,7 Packages,7,7,7
Glulxe,7 Packages,7,7,7
LPPL-1.3c,7 Packages,7,7,7
LiLiQ-P-1.1,7 Packages,7,7,7
Parity-7.0.0,7 Packages,7,7,7
blessing,7 Packages,7,7,7
CECILL-2.0,6 Packages,6,6,6
Leptonica,6 Packages,6,6,6
OFL-1.1-no-RFN,6 Packages,6,6,6
W3C-19980720,6 Packages,6,6,6
CC-BY-ND-2.5,5 Packages,5,5,5
Glide,5 Packages,5,5,5
NLOD-1.0,5 Packages,5,5,5
OSL-1.0,5 Packages,5,5,5
PolyForm-Small-Business-1.0.0,5 Packages,5,5,5
TCP-wrappers,5 Packages,5,5,5
TU-Berlin-2.0,5 Packages,5,5,5
UCL-1.0,5 Packages,5,5,5
ANTLR-PD,4 Packages,4,4,4
Adobe-Glyph,4 Packages,4,4,4
Afmparse,4 Packages,4,4,4
